id;amount;timestamp;ccy;txn_ref
1;1727;2023-02-11T08:33:20;XNO;mission-critical envisioneer Reactive
2;73415;2023-02-11T07:14:06;XNO;web-readiness
3;93138;2023-02-12T00:37:50;XNO;Division
4;23270;2023-02-11T08:25:32;XNO;Alaska
5;3992;2023-02-12T05:46:51;XNO;Engineer
6;90387;2023-02-11T14:45:57;XNO;Tools contextually-based Customer
7;85255;2023-02-11T20:57:02;XNO;Refined Consultant Wooden
8;22149;2023-02-11T19:42:38;XNO;scalable
9;25525;2023-02-11T22:08:20;XNO;Architect National
10;6961;2023-02-11T15:49:32;XNO;Hampshire connect
