id;voted_timestamp;verified;verified_time;verified_by;paid
1;2023-02-11T08:43:56;true;2023-02-11T21:16:15;Practical SDD Nicaragua;true
2;2023-02-12T04:05:08;true;2023-02-11T17:33:24;Paradigm;false
3;2023-02-12T02:47:54;false;2023-02-11T19:31:35;Specialist;true
4;2023-02-11T17:33:40;false;2023-02-11T07:50:28;Kentucky hacking;true
5;2023-02-12T05:31:09;false;2023-02-11T22:45:16;Hawaii Fully-configurable Implementation;false
6;2023-02-11T09:25:22;false;2023-02-11T14:27:06;Buckinghamshire Mobility;false
7;2023-02-11T07:27:24;true;2023-02-11T19:05:58;Branding benchmark;false
8;2023-02-12T05:59:17;true;2023-02-11T10:05:41;expedite;true
9;2023-02-12T04:19:53;true;2023-02-11T08:49:07;turquoise Representative;true
10;2023-02-11T21:59:50;true;2023-02-11T13:14:30;Hawaii National;true
